filename,bbox,confidence
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.04243    32.518166 -117.85378    32.706814],0.8775959610939026
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.27824    32.471004 -118.089584   32.659653],0.8150664567947388
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.27824    32.376682 -118.089584   32.565327],0.6807278394699097
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.183914   32.32952  -117.99526    32.518166],0.9117515087127686
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.13675    32.32952  -117.948105   32.518166],0.999964714050293
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.04243    32.32952  -117.85378    32.518166],0.9990580677986145
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.183914   32.28236  -117.99526    32.471004],0.7325563430786133
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-117.80662    32.28236  -117.61797    32.471004],0.9749488234519958
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.27824    32.2352   -118.089584   32.423843],0.9972773194313049
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.23107    32.2352   -118.04243    32.423843],0.991177499294281
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.183914   32.2352   -117.99526    32.423843],0.9998093247413635
S1A_IW_GRDH_1SDV_20220125T015006_20220125T015035_041611_04F317_5E2C_Cal_ML_Spk_TC.jp2,[-118.23107   32.09371 -118.04243   32.28236],0.7675047516822815
